Item_ID	Sentence	NP	RC	MatSubj	MatV	Det	HeadNoun	HeadSpecificity	Matrix Clause Structure	Adjacency	Type of Antecedent	Relativizer	RCSubj	RCSubjType	RClength	Comments	Speaker_ID	Speaker_sex	Speaker_birthdate	Speaker_Age	Speaker_dialect	Speaker_education	Speaker_payment	TURNinCONV	TOPinCONV	Speaker_AB	Conversation_ID	Conversation_topic_ID	Conversation_topic	Conversation_transcription-difficulty	Conversation_topic-variability	Conversation_naturalness
107778:9	that's the only thing wrong 0 i can find *t*-1 with it.	the only thing wrong 0 i can find *t*-1 with it	0 i can find *t*-1 with it	that	is	the	thing	empty	copula	1	unique	0	i	1pro	5		1353	" ""MALE"""	1943	47	" ""MIXED"""	3	" ""NONE"""	68	94	B	3229	306	RECIPES/FOOD/COOKING	1	1	1
108853:10	"that was something else 0 i had *t*-1, was, i had government aid, of course,"	something else 0 i had *t*-1	0 i had *t*-1	that	was	something	something	empty	copula	1	pronoun	0	i	1pro	2		1098	" ""FEMALE"""	1957	33	" ""SOUTH MIDLAND"""	2	" ""GIFT"""	135	160	A	3237	343	HOUSES	1	1	1
146812:3	something else 0 i think 0 we do can do *t*-1 is * support companies that *t*-2 encourage	something else 0 i think 0 we do can do *t*-1	0 i think 0 we do can do *t*-1	something else 0 i think 0 we do can do *t*-1	is	something	something	empty	copula	1	pronoun	0	i	1pro	6		1446	" ""MALE"""	1969	21	" ""SOUTH MIDLAND"""	2	" ""CASH"""	77	107	A	3988	308	MUSIC	1	1	1
150468:15	"and i guess 0 another one that, that i rank *t*-2 up there high is the, uh, kind of job flexibility and time off, um, 0 i enjoy *t*-1 as a benefit."	"the, uh, kind of job flexibility and time off, um, 0 i enjoy *t*-1 as a benefit."	0 i enjoy *t*-1 as a benefit.	"another one that, that i rank *t*-2 up there high"	is	the	job flexibility and time off	nonempty	copula	1	definite	0	i	1pro	5	"This was not in the original data, but I thought it could be useful. Counted ""um"" as nonadjacent"	1539	" ""MALE"""	1938	52	" ""NORTHERN"""	2	" ""CASH"""	66	107	B	4056	345	JOB BENEFITS	1	1	1
170974:20	"i guess, uh, 0 the only rule, uh, 0 i can think of *t*-1 is that i like *-2 to look for places with, uh, good respectable, nonprofit behind them like a university or a hospital or something like that."	"the only rule, uh, 0 i can think of *t*-1"	0 i can think of *t*-1	"the only rule, uh, 0 i can think of *t*-1"	is	the	rule	nonempty	copula	1	unique	0	i	1pro	4	"Counted ""uh"" in nonadjacency"	1626	" ""FEMALE"""	1953	37	" ""SOUTH MIDLAND"""	2	" ""CASH"""	60	88	B	4725	340	TAXES	3	1	1
38968:25	i'm trying *-1 to think of anything else 0 i do *t*-2 as a hobby.	anything else 0 i do *t*-2 as a hobby	0 i do *t*-2 as a hobby	I	am	anything	anything	empty	copula	1	pronoun	0	i	1pro	6		1002	" ""FEMALE"""	1963	27	" ""SOUTHERN"""	2	" ""GIFT"""	160	214	B	2472	306	RECIPES/FOOD/COOKING	1	1	1
50248:3	everything else 0 we handled *t*-1 in this seemed *-2 to be perfectly right.	everything else 0 we handled *t*-1 in this	0 we handled *t*-1 in this	everything else 0 we handled *t*-1 in this	be	everything	everything	empty	copula	1	pronoun	0	we	1pro	4		1013	" ""FEMALE"""	1957	33	" ""SOUTH MIDLAND"""	2	" ""GIFT"""	6	10	B	2559	336	RIGHT TO PRIVACY	2	1	4
62364:25	"and we called up the company that somebody else 0 we knew *t*-1 had dealt with *t*-2,"	somebody else 0 we knew *t*-1	0 we knew *t*-1	we	called	somebody	somebody	empty	other	1	pronoun	0	we	1pro	5		1251	" ""FEMALE"""	1945	45	" ""NORTHERN"""	2	" ""CASH"""	92	200	B	2667	356	EXERCISE AND FITNESS	1	1	1
163819:14	"uh, so, anything new 0 you like *t*-1 *ich*-3 *ich*-4 coming out now, other than folk music, some 0 i might know of *t*-2."	anything new 0 you like *t*-1	0 you like *t*-1		know	anything	anything	empty	other	1	pronoun	0	you	2pro	2		1638	" ""MALE"""	1956	34	" ""WESTERN"""	2	" ""CASH"""	112	184	A	4353	357	FAMILY FINANCE	2	2	1
12316:15	"so, do you have anything else 0 you want *-1 to say *t*-2 about it?"	anything else 0 you want *-1 to say *t*-2 about it	0 you want *-1 to say *t*-2 about it		have	anything	anything	empty	possessive	1	pronoun	0	you	2pro	6	Marked possessive because it appears to be a question about thoughts another person has. 	1026	" ""FEMALE"""	1957	33	" ""SOUTHERN"""	2	" ""GIFT"""	50	96	B	2124	306	RECIPES/FOOD/COOKING	1	1	1
